Rep,year,id,nCSDage0,totalCSDage0
NA,NA,NA,NA,NA
10,1,1057041,30,127
10,1,1057042,27,127
10,1,1057043,31,127
10,1,1057044,32,127
10,1,1057045,34,127
10,1,1057046,30,127
10,1,1057047,23,127
10,1,1057048,26,127
10,1,1057049,26,127
10,1,1057050,24,127
10,1,1057051,31,127
10,1,1057052,36,127
10,1,1057053,20,127
10,1,1057054,28,127
10,1,1057055,27,127
10,1,1057056,33,127
10,1,1057057,25,127
10,1,1057058,26,127
10,1,1057059,28,127
10,1,1057060,30,127
10,1,1057061,31,127
10,1,1057062,31,127
10,1,1057063,31,127
10,1,1057064,30,127
10,1,1057065,31,127
10,1,1057066,32,127
10,1,1057067,23,127
10,1,1057068,26,127
10,1,1057069,26,127
10,1,1057070,28,127
10,1,1057071,28,127
10,1,1057072,35,127
10,1,1057073,24,127
10,1,1057074,31,127
10,1,1057075,30,127
10,1,1057076,30,127
10,1,1057077,29,127
10,1,1057078,36,127
10,1,1057079,30,127
10,1,1057080,29,127
10,1,1058109,26,127
10,1,1058167,29,127
10,1,1058218,28,127
10,1,1058986,28,127
10,1,1059163,23,127
10,1,1059275,31,127
10,1,1060323,34,127
10,1,1060823,26,127
10,1,1060897,31,127
10,1,1064551,21,127
10,2,1636007,36,125
10,2,1636008,36,125
10,2,1636009,34,125
10,2,1636010,39,125
10,2,1636011,39,125
10,2,1636012,45,125
10,2,1636013,33,125
10,2,1636014,39,125
10,2,1636015,39,125
10,2,1636016,41,125
10,2,1636017,40,125
10,2,1636018,40,125
10,2,1636019,37,125
10,2,1636020,36,125
10,2,1636021,43,125
10,2,1636022,31,125
10,2,1636023,37,125
10,2,1636024,39,125
10,2,1636025,26,125
10,2,1636026,29,125
10,2,1636027,30,125
10,2,1636028,21,125
10,2,1636029,28,125
10,2,1636030,33,125
10,2,1636031,21,125
10,2,1636032,23,125
10,2,1636033,28,125
10,2,1636034,28,125
10,2,1636035,21,125
10,2,1636036,26,125
10,2,1636037,25,125
10,2,1636038,26,125
10,2,1636039,27,125
10,2,1636040,26,125
10,2,1636041,26,125
10,2,1636042,28,125
10,2,1636043,27,125
10,2,1636044,27,125
10,2,1636045,27,125
10,2,1636046,21,125
10,2,1636443,33,125
10,2,1637628,25,125
10,2,1638080,26,125
10,2,1638222,25,125
10,2,1638785,37,125
10,2,1639575,25,125
10,2,1640386,27,125
10,3,2326351,29,123
10,3,2326352,31,123
10,3,2326353,41,123
10,3,2326354,37,123
10,3,2326355,42,123
10,3,2326356,49,123
10,3,2326357,37,123
10,3,2326358,45,123
10,3,2326359,41,123
10,3,2326360,43,123
10,3,2326361,45,123
10,3,2326362,40,123
10,3,2326363,36,123
10,3,2326364,40,123
10,3,2326365,28,123
10,3,2326366,37,123
10,3,2326367,28,123
10,3,2326368,35,123
10,3,2326369,40,123
10,3,2326370,27,123
10,3,2326371,31,123
10,3,2326372,27,123
10,3,2326373,28,123
10,3,2326374,28,123
10,3,2326375,31,123
10,3,2326376,33,123
10,3,2326377,40,123
10,3,2326378,31,123
10,3,2326379,35,123
10,3,2326380,37,123
10,3,2326381,42,123
10,3,2326382,42,123
10,3,2326383,31,123
10,3,2326384,33,123
10,3,2326385,32,123
10,3,2326386,33,123
10,3,2326387,33,123
10,3,2326388,35,123
10,3,2326389,43,123
10,3,2326390,33,123
10,3,2327009,49,123
10,3,2327482,33,123
10,3,2329591,35,123
10,3,2330020,32,123
10,3,2333575,32,123
10,4,3026560,50,123
10,4,3026561,36,123
10,4,3026562,33,123
10,4,3026563,43,123
10,4,3026564,41,123
10,4,3026565,44,123
10,4,3026566,49,123
10,4,3026567,43,123
10,4,3026568,34,123
10,4,3026569,38,123
10,4,3026570,32,123
10,4,3026571,29,123
10,4,3026572,29,123
10,4,3026573,31,123
10,4,3026574,36,123
10,4,3026575,38,123
10,4,3026577,45,123
10,4,3026578,45,123
10,4,3026579,33,123
10,4,3026580,38,123
10,4,3026581,36,123
10,4,3026582,35,123
10,4,3026583,38,123
10,4,3026584,45,123
10,4,3026585,35,123
10,4,3026586,39,123
10,4,3026588,42,123
10,4,3026589,44,123
10,4,3026590,40,123
10,4,3026591,44,123
10,4,3026592,43,123
10,4,3026593,33,123
10,4,3026594,32,123
10,4,3026595,25,123
10,4,3026596,26,123
10,4,3026597,29,123
10,4,3026598,30,123
10,4,3026599,31,123
10,4,3026600,47,123
10,4,3026601,32,123
10,4,3027290,46,123
10,4,3029348,30,123
10,4,3029381,38,123
10,4,3030443,43,123
10,4,3033106,37,123
10,4,3033841,41,123
10,5,3698772,41,123
10,5,3698773,45,123
10,5,3698774,49,123
10,5,3698775,42,123
10,5,3698776,38,123
10,5,3698777,33,123
10,5,3698778,30,123
10,5,3698779,35,123
10,5,3698782,37,123
10,5,3698783,39,123
10,5,3698784,47,123
10,5,3698785,47,123
10,5,3698786,39,123
10,5,3698787,45,123
10,5,3698788,35,123
10,5,3698789,42,123
10,5,3698790,45,123
10,5,3698791,43,123
10,5,3698792,35,123
10,5,3698793,26,123
10,5,3698794,28,123
10,5,3698795,46,123
10,5,3698796,33,123
10,5,3698797,32,123
10,5,3698798,39,123
10,5,3698799,50,123
10,5,3698800,35,123
10,5,3698801,31,123
10,5,3698802,39,123
10,5,3698803,42,123
10,5,3698804,30,123
10,5,3698805,30,123
10,5,3698806,33,123
10,5,3698807,38,123
10,5,3698808,35,123
10,5,3698809,34,123
10,5,3698810,34,123
10,5,3698811,43,123
10,5,3698812,33,123
10,5,3698813,47,123
10,5,3699592,39,123
10,5,3700667,43,123
10,5,3700725,29,123
10,5,3702147,28,123
10,5,3702300,33,123
10,5,3702389,37,123
10,5,3702626,29,123
10,5,3705297,35,123
10,5,3705846,49,123
10,5,3706239,37,123
10,6,4390660,38,120
10,6,4390661,43,120
10,6,4390662,29,120
10,6,4390663,50,120
10,6,4390664,38,120
10,6,4390666,39,120
10,6,4390667,33,120
10,6,4390670,38,120
10,6,4390671,48,120
10,6,4390672,43,120
10,6,4390673,39,120
10,6,4390674,43,120
10,6,4390675,43,120
10,6,4390676,44,120
10,6,4390677,30,120
10,6,4390678,38,120
10,6,4390679,34,120
10,6,4390680,32,120
10,6,4390682,36,120
10,6,4390684,32,120
10,6,4390685,40,120
10,6,4390686,32,120
10,6,4390687,33,120
10,6,4390688,35,120
10,6,4390689,44,120
10,6,4390690,43,120
10,6,4390691,30,120
10,6,4390692,35,120
10,6,4390693,47,120
10,6,4390697,37,120
10,6,4390698,41,120
10,6,4390699,41,120
10,6,4390700,32,120
10,6,4390701,32,120
10,6,4390702,39,120
10,6,4390703,45,120
10,6,4390704,36,120
10,6,4390705,46,120
10,6,4390706,33,120
10,6,4390707,27,120
10,6,4391490,46,120
10,6,4392416,36,120
10,6,4392470,48,120
10,6,4392561,40,120
10,6,4394851,36,120
10,6,4396665,45,120
10,6,4397103,42,120
10,7,5043715,43,118
10,7,5043716,35,118
10,7,5043717,38,118
10,7,5043718,33,118
10,7,5043719,38,118
10,7,5043720,34,118
10,7,5043721,36,118
10,7,5043722,40,118
10,7,5043723,27,118
10,7,5043724,33,118
10,7,5043725,32,118
10,7,5043726,28,118
10,7,5043727,43,118
10,7,5043728,37,118
10,7,5043729,39,118
10,7,5043730,36,118
10,7,5043731,37,118
10,7,5043732,38,118
10,7,5043733,43,118
10,7,5043734,35,118
10,7,5043735,35,118
10,7,5043736,35,118
10,7,5043737,37,118
10,7,5043738,42,118
10,7,5043739,30,118
10,7,5043740,44,118
10,7,5043741,38,118
10,7,5043742,36,118
10,7,5043743,44,118
10,7,5043744,39,118
10,7,5043745,40,118
10,7,5043746,30,118
10,7,5043747,34,118
10,7,5043748,35,118
10,7,5043749,33,118
10,7,5043750,38,118
10,7,5043751,34,118
10,7,5043752,34,118
10,7,5043753,42,118
10,7,5043754,34,118
10,7,5044303,31,118
10,7,5046469,37,118
10,7,5047009,46,118
10,7,5049832,43,118
10,7,5050043,39,118
10,7,5050379,35,118
10,7,5051168,46,118
10,8,5775362,27,111
10,8,5775363,33,111
10,8,5775364,28,111
10,8,5775365,29,111
10,8,5775366,25,111
10,8,5775367,32,111
10,8,5775368,30,111
10,8,5775369,21,111
10,8,5775370,30,111
10,8,5775371,31,111
10,8,5775372,34,111
10,8,5775373,29,111
10,8,5775374,31,111
10,8,5775375,31,111
10,8,5775376,33,111
10,8,5775377,29,111
10,8,5775378,31,111
10,8,5775379,29,111
10,8,5775380,30,111
10,8,5775381,41,111
10,8,5775382,32,111
10,8,5775383,32,111
10,8,5775384,32,111
10,8,5775385,36,111
10,8,5775386,33,111
10,8,5775387,31,111
10,8,5775388,30,111
10,8,5775389,35,111
10,8,5775390,31,111
10,8,5775391,28,111
10,8,5775392,43,111
10,8,5775393,41,111
10,8,5775394,32,111
10,8,5775395,28,111
10,8,5775396,37,111
10,8,5775397,32,111
10,8,5775398,30,111
10,8,5775399,35,111
10,8,5775400,32,111
10,8,5775401,24,111
10,8,5777309,44,111
10,8,5782743,33,111
10,9,6466075,32,98
10,9,6466076,24,98
10,9,6466077,26,98
10,9,6466078,18,98
10,9,6466079,23,98
10,9,6466080,23,98
10,9,6466081,21,98
10,9,6466082,28,98
10,9,6466083,21,98
10,9,6466084,21,98
10,9,6466085,28,98
10,9,6466086,27,98
10,9,6466087,25,98
10,9,6466088,28,98
10,9,6466089,25,98
10,9,6466090,24,98
10,9,6466091,30,98
10,9,6466092,23,98
10,9,6466093,33,98
10,9,6466094,27,98
10,9,6466095,22,98
10,9,6466096,28,98
10,9,6466097,26,98
10,9,6466099,25,98
10,9,6466100,28,98
10,9,6466101,26,98
10,9,6466102,25,98
10,9,6466103,24,98
10,9,6466105,31,98
10,9,6466106,29,98
10,9,6466108,28,98
10,9,6466109,30,98
10,9,6466110,32,98
10,9,6466111,26,98
10,9,6466112,33,98
10,9,6466113,35,98
10,9,6466114,31,98
10,9,6466115,26,98
10,9,6466116,29,98
10,9,6466117,28,98
10,9,6467221,25,98
10,9,6468568,26,98
10,9,6468945,28,98
10,10,7192486,22,85
10,10,7192487,26,85
10,10,7192488,19,85
10,10,7192489,21,85
10,10,7192490,20,85
10,10,7192491,16,85
10,10,7192492,24,85
10,10,7192493,15,85
10,10,7192495,21,85
10,10,7192496,21,85
10,10,7192497,20,85
10,10,7192498,23,85
10,10,7192499,24,85
10,10,7192500,21,85
10,10,7192501,21,85
10,10,7192502,20,85
10,10,7192503,20,85
10,10,7192504,24,85
10,10,7192505,23,85
10,10,7192506,26,85
10,10,7192507,23,85
10,10,7192508,26,85
10,10,7192511,23,85
10,10,7192512,23,85
10,10,7192513,23,85
10,10,7192514,21,85
10,10,7192515,19,85
10,10,7192516,17,85
10,10,7192518,35,85
10,10,7192519,22,85
10,10,7192521,17,85
10,10,7192525,27,85
10,10,7192526,22,85
10,10,7192527,20,85
10,10,7192528,28,85
10,10,7192529,19,85
10,10,7192530,25,85
10,10,7192531,24,85
10,10,7192532,27,85
10,10,7192534,21,85
10,10,7194391,19,85
10,10,7194565,28,85
10,10,7194638,23,85
10,10,7195168,21,85
10,10,7196057,25,85
10,10,7199331,25,85
10,10,7199410,28,85
10,10,7199765,26,85
NA,NA,NA,NA,NA
1,1,1057041,27,127
1,1,1057042,29,127
1,1,1057043,26,127
1,1,1057044,28,127
1,1,1057045,27,127
1,1,1057046,28,127
1,1,1057047,28,127
1,1,1057048,28,127
1,1,1057049,24,127
1,1,1057050,25,127
1,1,1057051,28,127
1,1,1057052,30,127
1,1,1057053,27,127
1,1,1057054,24,127
1,1,1057055,29,127
1,1,1057056,35,127
1,1,1057057,35,127
1,1,1057058,31,127
1,1,1057059,24,127
1,1,1057060,27,127
1,1,1057061,29,127
1,1,1057062,29,127
1,1,1057063,20,127
1,1,1057064,22,127
1,1,1057065,28,127
1,1,1057066,35,127
1,1,1057067,27,127
1,1,1057068,26,127
1,1,1057069,20,127
1,1,1057070,22,127
1,1,1057071,26,127
1,1,1057072,31,127
1,1,1057073,24,127
1,1,1057074,30,127
1,1,1057075,26,127
1,1,1057076,23,127
1,1,1057077,24,127
1,1,1057078,21,127
1,1,1057079,25,127
1,1,1057080,40,127
1,1,1057755,24,127
1,1,1058102,26,127
1,1,1058315,31,127
1,1,1058484,30,127
1,1,1059322,23,127
1,1,1060485,25,127
1,1,1063450,31,127
1,2,1637146,35,125
1,2,1637147,36,125
1,2,1637148,39,125
1,2,1637149,39,125
1,2,1637150,37,125
1,2,1637151,39,125
1,2,1637152,40,125
1,2,1637153,43,125
1,2,1637154,31,125
1,2,1637155,36,125
1,2,1637156,35,125
1,2,1637157,45,125
1,2,1637158,37,125
1,2,1637159,33,125
1,2,1637160,40,125
